29	30	16	40	58	6	36	18	25	42	
37	30	12	26	29	14	54	16	9	11	
29	26	30	36	6	12	9	58	48	16	
6	25	58	30	36	7	32	29	57	18	
16	26	25	58	17	36	18	12	20	15	
29	36	57	16	30	7	18	17	6	26	
16	29	25	9	57	42	18	17	24	19	
16	30	26	12	11	13	17	36	21	38	
6	58	24	36	8	33	7	25	57	29	
25	58	30	7	36	8	12	16	17	29	
29	12	26	14	18	23	15	17	42	21	
38	36	40	1	6	29	24	42	18	8	
25	36	6	57	30	58	40	18	29	16	
16	29	6	12	42	57	36	18	7	11	
29	17	58	18	42	16	9	11	30	26	
12	14	54	60	13	29	40	15	16	17	
29	9	30	42	6	2	3	18	22	36	
30	12	42	29	25	57	54	45	1	60	
6	36	57	7	42	32	40	24	14	29	
29	16	26	18	6	17	58	25	57	3	
16	6	58	29	25	36	57	18	30	26	
6	26	58	29	36	32	11	30	16	13	
58	29	9	6	57	16	42	7	17	30	
58	16	17	25	7	26	57	42	11	24	
12	54	45	49	40	1	23	37	26	11	
25	18	6	58	29	8	4	16	12	26	
58	30	36	24	16	29	26	25	4	57	
29	42	58	25	6	26	30	17	18	12	
36	30	16	6	25	29	57	18	9	42	
12	14	36	60	42	25	46	16	58	29	
58	29	25	26	36	42	32	7	18	17	
25	58	6	24	30	32	12	60	42	45	
36	25	58	6	29	18	13	11	38	42	
29	12	9	26	11	42	58	14	54	3	
36	42	29	25	6	58	18	57	26	32	
30	29	42	16	58	18	12	57	6	26	
30	12	45	46	9	49	29	16	15	26	
29	30	42	25	36	57	12	26	18	17	
29	30	11	16	13	26	14	36	60	6	
6	58	36	29	16	11	13	26	30	24	
29	17	16	26	14	21	36	18	55	20	
29	36	30	57	18	6	58	7	26	12	
16	6	12	26	29	9	58	14	54	13	
25	6	30	58	42	17	29	32	18	60	
29	26	3	30	16	18	58	17	9	12	
26	6	2	48	16	30	29	19	9	12	
17	16	25	36	6	57	26	30	32	9	
30	16	12	25	58	18	42	54	57	60	
29	16	36	58	6	11	17	18	26	30	
6	32	7	4	33	58	36	42	18	17	
12	30	11	6	26	54	16	29	40	58	
29	57	42	36	30	6	16	12	26	18	
25	12	30	58	6	57	60	17	54	1	
16	26	42	17	30	57	58	53	36	6	
29	26	6	58	9	12	36	18	25	13	
6	58	24	7	33	8	57	16	29	26	
9	30	11	29	16	26	60	14	3	40	
14	12	60	45	40	15	42	29	21	36	
29	26	42	58	30	25	36	57	18	20	
6	32	58	25	16	29	36	4	7	17	
30	26	29	14	37	16	42	9	60	3	
52	55	53	21	20	18	29	42	25	17	
25	36	58	6	24	32	4	8	42	30	
16	30	26	42	58	32	17	12	25	36	
29	16	20	18	25	42	36	57	3	30	
6	36	16	29	26	25	7	57	11	24	
30	12	29	6	16	58	54	1	25	9	
6	58	30	36	25	26	29	32	12	57	
42	29	25	12	17	18	40	16	26	15	
30	12	16	26	42	17	15	36	14	54	
30	54	60	49	1	36	29	11	9	42	
29	42	36	16	26	25	20	57	58	19	
29	16	9	11	58	17	42	30	19	25	
6	58	32	57	33	36	16	26	29	42	
42	36	17	25	29	14	57	6	54	16	
29	42	16	17	23	30	21	26	48	9	
30	12	60	45	1	48	23	15	49	26	
6	58	57	32	18	42	29	17	16	4	
30	12	1	60	9	11	54	45	49	55	
6	25	32	58	57	24	42	4	16	18	
29	42	18	16	36	30	17	25	58	20	
16	26	6	36	42	57	7	9	17	18	
30	12	55	17	29	14	13	16	9	54	
9	29	13	30	3	16	37	19	48	12	
58	6	29	26	36	25	57	16	7	32	
29	26	6	57	17	36	42	18	11	13	
36	58	30	25	7	24	12	42	8	60	
29	30	9	12	17	58	18	11	25	54	
29	26	42	12	18	25	58	20	36	15	
16	29	3	17	37	2	42	9	48	30	
16	30	6	25	26	36	57	7	12	32	
6	7	25	57	16	36	29	24	17	42	
36	6	57	58	42	30	8	4	12	60	
16	29	11	58	6	36	17	2	25	19	
29	16	26	42	9	58	18	11	6	30	
30	29	12	26	42	17	40	14	54	16	
26	42	58	30	18	25	57	9	20	7	
25	7	32	26	24	29	36	4	8	42	
30	12	9	54	26	11	60	45	15	16	
9	11	30	12	29	26	19	54	16	14	
29	9	13	17	18	30	36	25	58	26	
26	12	9	29	16	3	11	54	14	40	
26	6	16	58	36	54	42	25	57	20	
12	29	14	9	36	17	42	60	16	54	
32	25	57	4	33	18	29	16	42	17	
7	25	57	4	8	42	29	18	16	30	
